,Group,Element,Action,Value,Strategy,XPath
0,Contact Info,firstName,click,,id,"//*[@id=""firstName""]"
1,Contact Info,firstName,Input,JOHN,id,"//*[@id=""firstName""]"
2,Contact Info,email,click,,id,"//*[@id=""email""]"
3,Contact Info,email,Input,test@gmail.com,id,"//*[@id=""email""]"
4,Contact Info,middleName,click,,id,"//*[@id=""middleName""]"
5,Contact Info,middleName,Input,M,id,"//*[@id=""middleName""]"
6,Contact Info,mobileNumber,click,,id,"//*[@id=""mobileNumber""]"
7,Contact Info,mobileNumber,Input,234-5432,id,"//*[@id=""mobileNumber""]"
8,Contact Info,lastName,click,,id,"//*[@id=""lastName""]"
9,Contact Info,lastName,Input,DOE,id,"//*[@id=""lastName""]"
10,Contact Info,Select Branch,click,,data-testid,"//*[@data-testid=""dropdown-button""]"
11,Contact Info,100 - TECU - MARABELLA BRANCH,click,,data-testid,"//*[@data-testid=""option-0""]"
12,Contact Info,Add profile picture,click,,data-testid+text,"//*[@data-testid=""button"" and contains(., ""Add profile picture"")]"
13,Contact Info,fileUpload,click,,id,"//*[@id=""file-upload""]"
14,Contact Info,fileUpload,Input,C:\fakepath\profile.jpg,id,"//*[@id=""file-upload""]"
15,Contact Info,Save & Continue,click,,data-testid+text,"//*[@data-testid=""button"" and contains(., ""Save & Continue"")]"
16,Contact Info,otp-input-0,click,,id,"//*[@id=""otp-input-0""]"
17,Contact Info,otp-input-0,Input,1,id,"//*[@id=""otp-input-0""]"
18,Contact Info,otp-input-1,Input,2,id,"//*[@id=""otp-input-1""]"
19,Contact Info,otp-input-2,Input,1,id,"//*[@id=""otp-input-2""]"
20,Contact Info,otp-input-3,Input,2,id,"//*[@id=""otp-input-3""]"
21,Contact Info,otp-input-4,Input,1,id,"//*[@id=""otp-input-4""]"
22,Contact Info,otp-input-5,Input,2,id,"//*[@id=""otp-input-5""]"
23,Contact Info,Verify OTP,click,,data-testid,"//*[@data-testid=""submit-button""]"
24,Documents,Choose an option,click,,data-testid,"//*[@data-testid=""dropdown-button""]"
25,Documents,Passport,click,,data-testid,"//*[@data-testid=""option-0""]"
26,Documents,upload-front-input,click,,id,"//*[@id=""upload-front-input""]"
